npc_name,cond,cmd,options,index,text,option1,option2,option3,option4
bunny,base,,,0,"""Hello, S-s-s-tranger.""",,,,
,,,,1,"""What'cha here f-f-for??""",,,,
,,,,2,"""My n-n-n-ame is Bugs, the B-b-b-unny!""",,,,
,,,,3,"""I d-d-don't sup-p-p-pose you here to kill that rich BASTARD, are ya?""",,,,
,,,,4,"""Regadless of t-t-that, the DEVs are lazy A-A-A-holes, so this dungeon is incomplete!""",,,,
,,,,5,"""Go forward - to SOMEWHAT-NOT-COMPLETE-COMPLETE-DUNGEON!""",,,,
,BUNNY_2,base,,0,"""Are you trying to kill--- THAT R-RICH SUCKER!??""",,,,
,,,,3,"""Well you should k-k-know the code first""",,,,
,,,,2,"""H-h-he's right there, with his m-m-massive pile of money.""",,,,
strongbox,STRONGBOX_CLOSED,set-start,4,0,"""Beep, please enter the first number.""","""8""","""7""","""3""","""2"""
,,setfalse-STRONGBOX_OPEN,,1.1,"""Beep. Got it.""",,,,
,,setfalse-STRONGBOX_OPEN,,1.2,"""Beep. Got it.""",,,,
,,settrue-STRONGBOX_OPEN,,1.3,"""Beep. Got it.""",,,,
,,setfalse-STRONGBOX_OPEN,,1.4,"""Beep. Got it.""",,,,
,,,4,2,"""Beep beep, now second number.""","""6""","""3""","""1""","""7"""
,,setfalse-STRONGBOX_OPEN,,3.1,"""Beep. Got it.""",,,,
,,settrue-STRONGBOX_OPEN,,3.2,"""Beep. Got it.""",,,,
,,setfalse-STRONGBOX_OPEN,,3.3,"""Beep. Got it.""",,,,
,,setfalse-STRONGBOX_OPEN,,3.4,"""Beep. Got it.""",,,,
,,,4,4,"""Beep, third number please, beep.""","""9""","""8""","""1""","""2"""
,,setfalse-STRONGBOX_OPEN,,5.1,"""Beep. Got it.""",,,,
,,setfalse-STRONGBOX_OPEN,,5.2,"""Beep. Got it.""",,,,
,,setfalse-STRONGBOX_OPEN,,5.3,"""Beep. Got it.""",,,,
,,settrue-STRONGBOX_OPEN,,5.4,"""Beep. Got it.""",,,,
,,,4,6,"""Last number, beep beep.""","""4""","""9""","""6""","""5"""
,,setfalse-STRONGBOX_OPEN,,7.1,"""Beep. Got it.""",,,,
,,settrue-STRONGBOX_OPEN,,7.2,"""Beep. Got it.""",,,,
,,setfalse-STRONGBOX_OPEN,,7.3,"""Beep. Got it.""",,,,
,,setfalse-STRONGBOX_OPEN,,7.4,"""Beep. Got it.""",,,,
,,,,8,"""Processing code....""",,,,
d2_4,base,,,0,"""NOW, there's a CHALLENGE!""",,,,
d2_boss,base,,,0,"""So you've come THIS FAR!""",,,,
,,,,1,"""Such a shame... I actually missed you, you know...""",,,,
,,,,2,"""Now all you want is REVENGE... PATHETIC HELL-STRAY CAT""",,,,
,,,,3,"""ROBOTO! TURN UP THE MUSIC!!!""",,,,
,HITO,,,0,"""Si te gustan los dungeon crawlers.""",,,,
,,,,1,"""Si te gustan los gatitos y ruptura de la cuarta pared.""",,,,
,,,,2,"""Si te gustan los isekai y humor negro.""",,,,
,,,,3,"""PHAT CAT esta hecho pa tu.""",,,,
